C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
TNFRSF4,7.98E-197,3.9109786,IL7R,9.86E-263,3.0680463,GZMK,0,7.489566,HSP90AA1,4.87E-110,1.9001627,CCL5,1.00E-118,4.362874,GZMB,3.28E-130,6.193653,CXCL13,1.17E-100,7.431234,GZMB,4.89E-39,4.4523067,STMN1,2.13E-61,6.4073634
TNFRSF18,8.60E-191,3.4725382,EEF1A1,4.39E-162,0.7086507,NKG7,9.35E-268,4.558214,FAM118A,9.01E-67,3.243805,KLRD1,1.41E-102,4.8518066,GZMH,2.08E-106,5.49676,SRGN,6.62E-80,1.8306626,CKLF,3.84E-33,2.3353033,TUBA1B,1.04E-59,4.8769307
BATF,1.53E-181,2.8699298,TPT1,1.34E-152,0.74547404,CST7,1.78E-250,3.5859425,HSPA1A,5.22E-65,2.441022,CD7,2.40E-84,2.7885487,NKG7,1.55E-102,4.6987987,FKBP5,9.12E-78,3.541234,CAPG,1.17E-31,3.2218435,TUBB,2.21E-59,4.577213
LTB,4.35E-153,2.278505,TXNIP,2.85E-130,1.5839462,CCL5,2.89E-223,4.089706,DNAJB1,5.14E-64,2.0501199,TMSB4X,3.16E-66,0.6005905,CD8A,2.51E-90,4.239037,NR3C1,2.01E-64,3.1646233,SH3BGRL3,2.27E-28,1.3414514,HMGB2,2.22E-58,4.4221454
IL32,4.92E-152,1.2175446,TSC22D3,3.24E-101,1.1270422,CCL4,7.24E-188,4.0697627,CRIP1,5.84E-61,1.8996968,HOPX,2.45E-63,3.5289562,CTSW,2.94E-86,4.0017176,ITM2A,7.12E-55,2.5917327,S100A4,1.23E-24,1.6248871,CKS1B,4.15E-52,5.3086953
IL2RA,8.31E-115,4.3284564,UBA52,5.52E-85,0.50342834,GZMA,5.87E-147,2.9564567,IFNG,4.37E-60,3.3322814,GZMA,2.45E-61,3.1517994,APOBEC3G,2.81E-82,3.3647847,SLA,5.00E-42,2.165652,LGALS3,2.96E-24,2.439494,MKI67,1.09E-51,6.373207
SAT1,1.15E-113,1.8295553,FOS,1.47E-79,1.4580806,DUSP2,2.31E-137,3.1956756,HSPA1B,7.68E-60,2.2976663,NKG7,4.62E-53,3.0554633,CCL5,2.94E-80,4.060172,NFKBIA,4.80E-39,1.9508135,HLA-B,6.14E-24,0.9896667,NUSAP1,3.76E-50,6.081102
FOXP3,2.88E-110,5.4682508,EEF1B2,1.11E-77,0.9102314,CXCR4,1.05E-110,1.3788484,ANKRD28,1.02E-57,2.4989653,ID2,2.96E-50,2.166041,HLA-DRB1,3.83E-78,3.3410163,ICA1,2.65E-38,3.5353272,S100A6,2.25E-23,1.2952262,UBE2C,1.28E-48,6.5257316
BIRC3,3.64E-110,2.0360415,CD69,9.79E-77,1.3171815,HCST,3.97E-97,1.4372681,HSP90AB1,2.12E-53,1.4141108,CD63,8.63E-45,2.1311703,HLA-DRA,3.74E-73,3.4326937,IL6ST,7.34E-38,3.6873903,GZMA,2.34E-23,2.7494829,TOP2A,5.26E-48,6.622429
PMAIP1,2.86E-106,2.6153104,BTG1,1.49E-74,0.68391323,CMC1,2.45E-92,3.655361,HSPH1,5.32E-53,2.6176667,CD8A,4.62E-40,2.80373,LAG3,3.86E-73,4.1285152,BTLA,2.00E-37,4.0548444,VIM,2.99E-23,1.6392956,BIRC5,5.58E-46,6.4708166
TIGIT,5.76E-99,2.1268792,CD40LG,3.47E-70,2.7205732,CD8A,5.68E-77,2.7774968,TNFAIP3,7.60E-51,1.7593477,CCL4,3.78E-38,2.8503022,PRF1,8.51E-72,3.6753294,EEF1A1,3.80E-36,0.73426604,GAPDH,5.95E-23,1.1189853,HMGB1,2.91E-44,2.065372
CARD16,3.29E-89,1.8710123,ANXA1,3.56E-69,1.7191862,HLA-C,2.09E-75,0.60013497,ENTPD1,2.71E-50,2.369738,HCST,7.62E-37,1.3292542,HLA-DPA1,5.12E-70,2.992313,TMEM243,1.09E-35,2.694299,ALOX5AP,6.86E-22,2.1912189,HMGN2,5.04E-44,3.02138
S100A4,4.30E-86,1.2217717,TOMM7,2.50E-66,0.7353495,GZMM,1.37E-74,2.185843,ZFP36L1,6.12E-47,1.7110758,CD160,1.74E-35,6.4477816,CCL4,3.75E-67,3.9942687,TOX2,2.43E-35,4.142326,S100A11,9.42E-22,1.7974782,CDK1,6.97E-41,6.264869
DUSP4,3.12E-70,2.0795364,JUNB,3.57E-65,1.1465163,LYAR,1.78E-73,3.108257,ID2,2.72E-45,1.6113169,CD52,1.99E-33,1.0634435,CCL3,3.78E-67,4.9158177,CORO1B,2.00E-31,2.1733449,ANKRD28,3.47E-21,2.7048123,TYMS,2.05E-40,6.0446854
DNPH1,2.32E-69,1.8425965,PABPC1,1.16E-64,0.8495393,GIMAP4,1.23E-68,1.9236789,ARPC2,1.74E-44,1.0091814,GZMB,2.86E-33,2.6457767,HLA-DPB1,2.93E-65,2.797656,LIMS1,3.86E-29,2.404161,ACTB,2.64E-20,0.8135919,PTTG1,4.59E-37,3.5498333
UGP2,7.25E-69,1.7864376,CXCR4,2.85E-64,0.9928123,KLRG1,3.25E-68,3.4649804,GNLY,3.77E-44,3.181339,CD8B,1.13E-30,2.705596,GNLY,1.22E-63,5.4422054,HLA-A,1.78E-27,0.77742535,ANXA2,4.05E-19,2.0959182,RRM2,7.21E-37,6.9066677
RGS1,2.14E-68,1.3526225,PFDN5,8.41E-58,0.62110436,CTSW,8.50E-64,2.2822924,DEK,2.12E-35,1.4549408,JCHAIN,1.46E-27,2.508353,CXCL13,2.62E-63,4.726163,COTL1,1.36E-26,1.7385151,KRT8,6.50E-18,2.6190927,SMC4,1.04E-36,3.695387
TBC1D4,1.93E-63,2.512547,FAU,1.43E-57,0.35806572,ZFP36L2,1.88E-56,1.2327952,CREM,3.46E-34,1.700879,CTSW,2.20E-27,2.1753907,GZMA,6.99E-62,3.2180629,PASK,2.07E-25,3.297312,CD3D,1.21E-16,0.9840117,CENPF,2.22E-35,5.5692825
SPOCK2,9.06E-63,1.4089776,KLRB1,8.48E-51,1.5426276,GIMAP7,1.31E-55,1.7215558,HSPD1,6.47E-33,1.7234894,ITGA1,2.51E-27,3.060714,CD63,9.12E-57,2.592144,C9orf16,6.61E-25,1.5876788,TMIGD2,2.49E-16,3.407942,CKS2,2.60E-35,3.9119241
TNFRSF1B,4.05E-58,1.8081095,SARAF,1.56E-48,0.68769836,CD74,1.04E-51,1.1323409,ARGLU1,1.26E-32,1.3467444,IL32,2.09E-25,0.9340113,HAVCR2,5.71E-52,4.054457,SESN1,7.14E-25,3.2562099,PERP,1.68E-15,2.671448,TPX2,6.17E-34,5.9322248
PIM2,9.22E-57,2.2319212,FXYD5,1.38E-46,0.9288468,BTG1,2.82E-51,0.6471259,NR4A2,1.07E-31,2.0106351,XCL2,4.67E-25,3.9161193,CD74,1.01E-51,2.0486488,TIGIT,4.91E-23,1.8724092,LDHA,1.87E-15,1.6299505,SMC2,1.05E-33,4.3843493
CORO1B,4.20E-55,1.5442516,GPR183,7.51E-43,1.6541449,TXNIP,5.00E-51,1.1405969,KLRB1,1.17E-31,1.69244,CD69,8.17E-23,1.3183967,CD8B,4.60E-51,3.1499298,PDCD1,1.06E-22,2.5998077,MYL6,4.01E-15,0.8490979,TMPO,1.67E-33,3.5130847
RTKN2,2.17E-53,3.7970304,EIF3E,9.50E-42,0.75829726,APOBEC3G,5.27E-49,1.7088708,RBPJ,1.13E-30,1.4109254,ALOX5AP,3.52E-22,1.4521843,ITM2C,6.61E-48,3.0120678,HNRNPA1,2.36E-22,0.9079652,ENO1,4.94E-15,1.532428,CCNA2,1.76E-33,6.105429
CTLA4,2.29E-52,2.6444638,ZFP36L2,5.39E-41,0.9576905,CD8B,6.92E-49,2.5276358,KLF6,2.13E-30,1.0554583,ACTB,4.59E-22,0.51091546,SH3BGRL3,8.91E-48,1.2785671,SMCO4,2.46E-21,3.5342727,ID2,6.13E-15,1.8755747,ASPM,2.39E-31,5.8955555
HLA-A,1.01E-51,0.5006087,ITM2B,6.60E-41,0.55838394,ITGB2,1.33E-46,1.440906,RGS2,1.13E-29,1.8381691,EVL,8.08E-22,1.0177579,LY6E,2.83E-43,2.0894043,CPM,2.64E-21,4.7828393,DDIT4,5.81E-14,1.7132982,UBE2T,6.63E-30,4.7205114
UCP2,1.74E-51,1.3849661,NACA,4.03E-40,0.45303056,ITM2C,1.45E-46,2.1976066,JUND,3.47E-29,1.5100555,CD96,1.88E-20,1.6432341,KLRD1,1.89E-42,3.2255538,CCND3,4.54E-21,1.7260401,TPI1,2.38E-13,1.5269423,HMMR,1.10E-29,6.484689
CD27,3.58E-51,1.3986977,CD48,1.87E-38,0.91379976,HLA-A,4.89E-45,0.51421666,ATF3,3.36E-28,3.1506882,PRF1,2.76E-20,1.9762679,CCL4L2,8.51E-42,3.5135584,GNG4,4.73E-21,6.35727,CTSH,3.00E-13,2.6385992,ANP32B,5.50E-29,2.559208
LAIR2,4.82E-50,3.66629,CD52,3.79E-38,0.63126975,CCL4L2,1.14E-41,2.5544517,TLN1,1.28E-27,1.6674836,ZFP36,5.75E-20,1.2365068,PTMS,7.51E-41,3.5239813,YWHAQ,2.93E-19,1.5770612,CD2,5.07E-13,1.0953096,CDKN3,6.25E-29,5.3065014
PBXIP1,6.09E-50,1.5270448,EEF1D,9.22E-34,0.3897151,HLA-DPB1,1.30E-40,1.3713926,TMSB4X,2.56E-27,0.3153071,JAML,9.14E-20,1.9329888,HLA-DQA1,1.81E-39,3.0693717,ISCU,5.44E-19,1.4803103,PGK1,6.80E-13,1.5409102,ZWINT,1.48E-28,5.105121
GBP2,1.04E-49,1.6478757,DDIT4,1.51E-32,1.0060371,B2M,1.67E-39,0.22232586,PAG1,3.19E-27,1.9768296,ABI3,1.43E-19,2.1653895,CHST12,8.25E-39,2.6079552,UCP2,5.65E-18,1.5140759,CD63,1.11E-12,1.7120774,TUBB4B,2.68E-28,3.2419846
ARID5B,1.45E-46,1.6338866,EEF2,2.00E-32,0.51552635,FAU,1.62E-37,0.4092913,DNAJA1,1.72E-26,1.4124014,CCL4L2,1.43E-17,2.5030122,RBPJ,9.38E-39,2.2282774,PPP1CC,7.96E-18,1.8123503,KRT18,1.23E-12,2.344244,AURKB,1.01E-27,6.206403
SOD1,2.38E-42,0.95683306,NFKBIA,4.21E-31,0.852558,HLA-E,1.24E-30,0.51255983,YWHAZ,2.29E-26,1.104476,GPR171,3.10E-17,1.6144528,GAPDH,1.52E-38,1.1205468,CCNI,8.33E-18,1.1296157,OSTF1,2.32E-12,1.7290405,RAN,1.73E-27,2.1973777
PKM,3.34E-42,1.1443583,FKBP11,4.26E-30,1.6262857,CRTAM,1.25E-27,3.6547444,IVNS1ABP,3.51E-26,2.0769684,TMIGD2,1.45E-16,3.0214093,KLRC2,1.77E-35,4.8123665,ADD3,3.36E-17,2.3169332,TMSB4X,2.36E-12,0.37478554,PRC1,1.86E-27,5.26612
ICA1,6.89E-41,2.5669644,GPR171,1.30E-28,1.3707583,PTP4A2,1.41E-27,1.1176205,GZMA,4.14E-26,1.5325412,CAPG,2.98E-16,1.77197,NDFIP2,2.81E-35,2.7908974,NAP1L4,5.92E-17,1.6650499,DRAP1,4.13E-12,1.5414207,DUT,9.85E-27,3.0672755
CTSC,3.20E-39,1.2345834,LDHB,4.43E-27,0.67704564,EOMES,2.36E-27,3.884962,RORA,4.96E-26,1.3421911,HLA-B,1.36E-14,0.39435482,CTSD,2.71E-34,2.0170712,TOX,6.62E-17,2.5607247,MT2A,4.91E-12,1.6882765,DEK,1.46E-26,2.5807903
TYMP,7.13E-37,1.5384678,DUSP1,6.56E-23,0.6381687,CD48,4.71E-25,0.82922614,TPM4,8.91E-26,1.4776076,LGALS1,2.12E-14,1.2838064,IFI6,4.51E-33,2.382498,CIRBP,1.93E-16,1.1654426,CIB1,5.65E-12,1.4567437,PCNA,3.71E-26,3.5546212
ICOS,9.12E-37,1.8347309,S100A10,8.32E-23,0.5808647,CYBA,7.52E-25,0.49004963,SAMSN1,3.04E-25,1.2758684,KLRB1,2.52E-14,1.4334475,PHLDA1,6.03E-33,2.4238367,PEBP1,1.04E-15,1.3735344,RGS1,5.92E-12,1.4247504,GTSE1,7.38E-26,5.763284
CD7,2.06E-36,1.0601127,TMEM123,9.13E-23,1.1453474,SH2D1A,8.20E-23,1.4105613,REL,4.97E-25,1.7327781,FTL,3.33E-14,0.5166357,LSP1,1.39E-31,1.5917767,SLC25A6,1.20E-15,0.9672351,MYL12B,1.30E-11,1.1590242,MAD2L1,2.23E-25,3.939049
SELL,1.67E-33,1.5556326,JUN,1.35E-22,0.6209546,CD27,1.85E-22,0.99923396,NCL,1.16E-24,1.1365421,SPRY1,7.57E-14,2.5568154,APOBEC3C,1.93E-31,2.3770227,RGS10,1.54E-15,1.2955751,DYNLL1,2.86E-11,1.497913,ANP32E,3.63E-25,2.9450793
GLRX,1.21E-32,1.3530657,COX7C,9.58E-21,0.32529938,PPP2R5C,2.31E-22,0.8668165,ZEB2,2.69E-24,2.582786,ANKRD28,1.03E-13,1.7092022,CLEC2B,3.44E-30,2.061868,SH2D1A,1.80E-15,1.7981013,CFL1,4.55E-11,0.7594015,CENPA,1.06E-24,6.0272837
PRDM1,1.45E-32,1.1689918,GIMAP7,7.16E-20,0.93068254,HLA-F,9.80E-21,0.78466445,RAB11FIP1,1.02E-23,2.0125482,CD3D,2.42E-13,0.38747326,HCST,7.86E-30,1.4749904,ANP32B,1.95E-15,1.3546157,CD6,6.26E-11,1.7503461,TUBA1C,1.68E-24,3.4911873
IL2RG,1.48E-31,0.8245558,FTH1,2.88E-19,0.23550612,STK17A,5.02E-20,0.82257986,MBNL1,1.43E-22,1.2490932,CKLF,2.89E-13,0.9386162,ID2,1.11E-29,1.86395,ELMO1,3.13E-15,2.6659062,LGALS1,6.30E-11,1.7426784,TK1,1.70E-24,5.412179
CD79B,1.11E-30,2.2054355,FOSB,1.13E-18,0.89844114,CLDND1,1.10E-18,1.4727325,CD3G,2.84E-22,1.007461,SH3BGRL3,3.20E-13,0.6259551,ACP5,9.29E-29,2.509603,MYCBP2,3.27E-15,1.6448143,LY6E,1.13E-10,1.4789485,CENPW,2.35E-24,4.7365446
B2M,1.16E-30,0.16325945,PIK3IP1,3.99E-18,0.7492766,COTL1,1.83E-18,0.7453445,HSPE1,3.73E-22,1.1030655,YBX1,1.36E-12,0.7642821,HLA-DQB1,1.78E-28,2.3626888,CD40LG,3.32E-15,1.9768596,CCL20,1.57E-10,2.2916365,UBE2S,2.78E-24,3.5520837
LAYN,4.52E-30,3.0771902,LEPROTL1,4.03E-17,0.69144166,GIMAP1,3.78E-18,1.4355602,S100A6,4.28E-22,0.7457683,CYBA,9.41E-12,0.57463807,IFNG,1.09E-26,2.6044595,LAT,4.88E-15,1.38176,AGR2,1.62E-10,2.3998127,NUF2,3.28E-24,5.4894943
COX17,1.13E-28,1.0904509,NBEAL1,8.31E-17,0.7823862,CLEC2B,2.03E-17,1.026376,CCL3,1.62E-21,2.740567,ITM2C,9.77E-12,1.5567547,CXCR6,2.80E-26,2.2947607,NAP1L1,7.34E-15,0.9827847,ANXA5,2.16E-10,1.6745927,NUDT1,7.05E-24,2.9580424
GADD45A,1.64E-28,2.3065593,GIMAP4,8.49E-17,0.8782436,LITAF,2.53E-17,1.2822275,MACF1,1.11E-20,1.6030451,XCL1,1.56E-11,3.9082935,ISG15,1.00E-25,2.0384703,CD200,1.52E-14,4.3846354,CSTB,3.44E-10,1.386526,EZH2,7.84E-24,3.9053345
CD74,1.80E-28,0.8282702,MYL12A,1.86E-16,0.33902708,TRAT1,3.08E-17,1.2595164,DYNLL1,1.70E-20,1.0141275,CD99,2.05E-11,0.8961554,ADGRE5,1.07E-23,1.9786323,EIF3L,2.69E-14,1.3252662,CTSC,4.51E-10,1.5013794,GAPDH,4.02E-23,1.2528119
ENO1,1.10E-27,0.7608173,FKBP5,4.89E-16,0.95686316,SAMD3,1.55E-16,2.2311146,PPP1R15A,3.29E-20,1.191984,FCER1G,9.36E-11,3.9435987,HLA-DMA,1.87E-23,2.316958,EEF2,1.27E-13,0.91762185,JAML,5.06E-10,1.7473099,CEP55,4.90E-23,5.1539893
CUL9,4.62E-27,3.889709,JCHAIN,7.69E-16,1.2881601,PYHIN1,3.65E-16,1.3239422,MCL1,4.46E-20,1.0641681,KIR2DL4,1.16E-10,4.607135,SIT1,1.38E-22,1.777506,GYPC,1.61E-13,1.3026205,TXN,5.13E-10,1.4737514,PTMA,1.86E-22,0.80842644
BTG3,1.12E-26,1.437372,RNASET2,1.97E-15,0.9647258,PPDPF,7.37E-16,0.40848076,PHGR1,6.59E-20,1.5050933,LSP1,3.33E-10,0.77093166,OASL,8.97E-22,3.1451862,PIK3IP1,1.77E-13,1.2710412,BLOC1S1,6.73E-10,1.4769987,ASF1B,2.68E-22,5.1725864
NFKBIA,5.60E-26,0.835838,COX4I1,3.29E-15,0.27791685,ZFP36,2.47E-15,0.6738434,RASGRP1,7.96E-20,1.538427,MATK,8.12E-10,2.2426755,CD7,9.29E-22,1.6193173,TNFRSF4,2.29E-13,1.5399841,ISG15,6.89E-10,1.6145627,DTYMK,4.83E-22,3.4943516
MAGEH1,2.05E-25,2.344709,LTB,1.41E-14,0.69563407,GZMH,5.90E-15,1.7007076,HOPX,1.11E-19,1.7744209,CD3E,8.21E-10,0.5741877,CORO1A,1.60E-21,0.9846489,OXNAD1,2.98E-13,1.641169,PLEKHF1,7.12E-10,2.1496837,CALM3,1.60E-21,2.2936656
NAMPT,1.21E-23,1.670203,PLAC8,3.07E-14,2.0854218,HLA-DPA1,1.28E-14,0.8637924,FABP5,3.96E-18,1.5998871,ITGB7,1.24E-09,1.532826,COTL1,2.38E-21,1.535227,NMB,3.21E-13,3.7802267,CALM1,1.45E-09,1.0301336,KIFC1,2.04E-21,5.5828185
CREM,5.13E-23,1.0655617,LPAR6,6.20E-14,1.5838208,CD69,2.34E-14,0.66495866,ARL4C,9.48E-18,1.2259932,CD3G,3.18E-09,0.72208077,CXCR3,2.82E-21,2.1594136,CNIH1,5.70E-13,1.7613282,IFI27,1.59E-09,1.9153705,MT2A,2.10E-21,2.424268
SH2D2A,6.70E-23,1.2868431,TMA7,1.72E-13,0.23077658,PLEK,2.58E-14,3.6224673,CLEC2B,2.96E-17,1.1744846,DDIT4,4.13E-09,0.86693627,CALR,2.99E-21,1.5476335,EEF1B2,5.83E-13,0.93117386,CD3G,1.69E-09,1.2972847,SLC25A5,2.35E-21,2.237066
SLAMF1,1.46E-22,1.6147617,CITED2,2.14E-13,1.020035,LIMD2,1.27E-13,0.6390347,TMEM167A,4.14E-17,1.4212878,IFITM2,6.25E-09,0.79441875,CD2,3.51E-21,1.014785,EEF1D,1.87E-12,0.5122574,PFN1,1.88E-09,0.6865952,CENPM,2.37E-21,3.6714332
ARPC1B,1.67E-22,0.6556077,CCR7,2.33E-13,1.5873483,DTHD1,3.35E-13,2.4399247,PHLDA1,4.85E-17,1.4112998,RABAC1,6.98E-09,0.9469845,ACTG1,5.06E-21,0.8333197,MTHFD2,2.86E-12,2.2040145,YWHAQ,2.08E-09,1.4530169,MCM7,4.19E-21,3.9148629
OAZ1,3.40E-22,0.40690958,BTF3,7.18E-13,0.20550914,TC2N,8.27E-13,1.6315783,MT2A,6.22E-17,1.0184834,GSTP1,1.14E-08,0.9498916,APOBEC3H,5.91E-21,3.013802,HINT1,6.51E-12,0.8240323,RHOC,2.49E-09,1.5220909,NUCKS1,8.11E-21,2.4177139
TMSB10,3.49E-22,0.2600029,TRAT1,1.65E-12,0.9666895,MATK,8.76E-13,2.0871758,LRRFIP1,9.50E-17,1.0036328,PTGER2,1.44E-08,1.9948006,RABAC1,1.75E-20,1.6078066,UBA52,6.65E-12,0.43113863,ABI3,3.08E-09,1.8933003,LMNB1,1.00E-20,3.4932008
IKZF2,4.53E-22,3.5988982,EIF1,7.29E-12,0.14127141,EEF1A1,2.52E-12,0.26311666,SRGAP3,2.00E-16,3.0555713,SYTL3,4.27E-08,1.2499382,CCND2,2.36E-20,1.9545662,GPX4,9.07E-12,1.1295052,CD40LG,3.33E-09,1.8439411,KIF22,4.31E-20,3.3683057
CD4,7.70E-22,1.4154557,NPM1,2.83E-11,0.22288314,ATM,5.90E-12,1.2092648,OSBPL8,2.18E-16,1.4785202,GAPDH,5.69E-08,0.3810381,ZNF683,3.50E-20,3.628346,RBPJ,9.90E-12,1.2839687,TIMP1,3.48E-09,1.6308142,CARHSP1,6.80E-20,2.4939415
NABP1,1.33E-21,1.2938461,PTGER2,4.11E-11,1.760074,F2R,8.52E-12,2.1869218,TPM3,2.20E-16,0.83422583,CTSD,7.15E-08,0.87030566,CTSC,3.91E-20,1.5805328,NACA,1.12E-11,0.5953843,LAPTM5,4.01E-09,1.0375668,CDCA5,8.73E-20,6.091177
ARL6IP5,1.88E-21,0.7197118,SERINC5,4.81E-11,1.8689485,DENND2D,9.86E-12,1.1150048,SRSF7,2.37E-16,0.856426,SCML4,7.33E-08,1.7946184,CLIC1,6.09E-20,1.1435825,TCF7,1.22E-11,1.9386468,C12orf75,5.41E-09,1.6852987,CKAP2,9.56E-20,3.4978285
PHLDA1,1.39E-20,1.2045602,SCML4,1.05E-10,1.4406054,APMAP,1.26E-11,1.5318078,RNF213,2.77E-16,0.96337867,CLEC2B,7.76E-08,0.99894935,BST2,6.89E-20,1.5951606,VOPP1,1.40E-11,1.7651321,REEP5,6.63E-09,1.4987915,KPNA2,9.75E-20,3.5711217
GBP5,3.54E-20,1.6185887,PPP2R5C,1.07E-10,0.53455395,PRF1,1.11E-10,1.1100461,DDX17,3.82E-16,1.0209489,CHCHD10,8.04E-08,1.2405728,C12orf75,8.62E-20,1.763101,SFXN1,2.11E-11,1.8690882,CTSL,1.32E-08,3.0470877,RANBP1,1.09E-19,2.311189
MAF,3.88E-20,1.1646134,PTGER4,1.18E-10,1.1294842,ANXA1,1.98E-10,0.7170159,GZMB,4.98E-16,1.3680667,AOAH,9.18E-08,2.4703288,PDCD1,2.43E-19,2.1796348,CD84,2.72E-11,1.7114019,ACTG1,1.40E-08,0.74183506,CLSPN,1.51E-19,4.6783214
ACP5,1.04E-19,1.4389595,PDCD4,1.45E-10,0.7713484,HNRNPA1,3.35E-10,0.253882,ANXA1,6.27E-16,1.1055857,ZNF683,1.17E-07,2.5953302,CLIC3,1.10E-18,2.8422763,RILPL2,3.52E-11,1.728992,S100P,2.37E-08,2.6161816,DNAJC9,1.98E-19,2.9457803
SUMO2,1.05E-19,0.59466535,COMMD6,1.84E-10,0.2246249,PSME1,3.70E-10,0.29840302,KLRD1,9.15E-16,1.6795728,GUK1,1.83E-07,0.65108854,TNIP3,1.41E-18,2.6095448,CD27,3.80E-11,1.2354203,PYCARD,3.07E-08,1.5523745,USP1,2.15E-19,2.8541205
CALM3,2.49E-19,0.8210411,S100A11,2.04E-10,0.3451848,PTPRC,4.20E-10,0.2562693,EMB,9.44E-16,1.1441387,TYROBP,2.09E-07,2.9369345,HOPX,1.52E-18,2.101447,PGM2L1,9.42E-11,2.6097295,CXCR6,5.33E-08,1.6992781,TACC3,2.24E-19,3.037971
ENTPD1,2.51E-19,1.1396567,ZFP36,2.04E-10,0.45250073,FYN,6.08E-10,0.7251897,POMP,1.39E-15,0.8871622,STOM,2.29E-07,1.4983796,CISH,3.28E-18,2.6471958,NUDT16,1.17E-10,2.9310975,SUSD3,6.47E-08,1.6059529,NCAPG,2.63E-19,5.3546844
FANK1,7.04E-19,5.317176,C1orf162,2.05E-10,2.0559714,CD44,7.78E-10,0.43690416,PRRC2C,1.91E-15,0.90922064,AREG,2.83E-07,2.2004578,BLOC1S1,6.62E-18,1.4538348,HNRNPK,1.17E-10,0.9134108,GPR171,9.98E-08,1.3996423,CALM2,3.54E-19,1.6865858
FTH1,8.53E-19,0.3007944,AQP3,2.29E-10,1.2351893,DDX5,3.31E-09,0.20511946,CSF1,2.12E-15,2.5914264,PTPN22,2.92E-07,1.2990174,ITGAE,3.28E-17,1.896591,COX7C,1.45E-10,0.62219644,IFI44,1.24E-07,2.0195472,CDCA4,4.70E-19,3.2457728
SCAND1,3.42E-18,0.88627446,EIF4A2,3.20E-10,0.31718653,JUNB,5.26E-09,0.3820296,GPBP1,4.96E-15,1.0507932,POLR2L,2.94E-07,0.64385086,MX1,8.67E-17,2.2722158,NPM1,1.51E-10,0.7384148,PGAM1,1.25E-07,1.2703599,KIF20B,7.43E-19,3.1101758
TNIP1,9.02E-18,1.1768157,NOSIP,3.30E-10,0.98969394,ISG20,5.68E-09,0.48178425,KRR1,6.82E-15,1.6302027,OSTF1,3.10E-07,0.9125227,SLC1A5,1.51E-16,2.8645024,EIF3F,2.56E-10,0.9915631,BST2,1.25E-07,1.3541747,CRIP1,8.57E-19,2.2474642
ISCU,2.14E-17,0.77329034,UQCRB,3.50E-10,0.21265046,IER2,6.25E-09,0.6052618,MIS18BP1,7.68E-15,1.7567595,CLIC3,4.54E-07,1.9553956,CFL1,2.22E-16,0.6787653,CHN1,3.15E-10,2.8704615,NFKBIA,1.62E-07,1.2071072,RPA3,9.73E-19,2.5214784
NDFIP1,2.28E-17,0.9020283,DDX5,3.82E-10,0.17286918,MBP,9.16E-09,1.1158197,RNF19A,1.23E-14,1.2237756,MSH3,5.72E-07,2.2516394,PLSCR1,2.97E-16,2.66289,RNF19A,4.60E-10,1.4152727,CD52,1.81E-07,0.819563,PHF19,1.21E-18,3.4353049
POU2F2,3.49E-17,1.762677,GSTK1,4.60E-10,0.4242889,XCL2,1.04E-08,2.098464,S100A4,7.66E-14,0.80814946,GABARAPL1,6.60E-07,1.6679939,PSMB9,5.60E-16,1.2546751,BIRC3,4.70E-10,1.1646475,HLA-C,2.08E-07,0.48114416,DLGAP5,1.58E-18,6.238985
SRGN,3.93E-17,0.3767475,LAPTM5,2.00E-09,0.25504452,CD3E,3.26E-08,0.20292549,NEDD9,1.42E-13,1.743443,GZMH,1.38E-06,1.4559618,IFI44,6.59E-16,2.1530986,PKM,1.13E-09,1.0346693,CLIC1,2.09E-07,0.8946539,SAE1,1.98E-18,2.8802135
PRDX1,4.02E-17,0.70467645,TMSB10,2.27E-09,0.10709279,CHST12,5.13E-08,0.9705373,IRF1,1.74E-13,1.0769248,CFD,1.66E-06,2.1743038,ACTB,7.48E-16,0.46784204,BTF3,1.34E-09,0.652632,KLRB1,2.34E-07,1.5297388,CDC20,3.42E-18,5.6625624
HSPA1A,4.03E-17,0.9943957,SERP1,8.24E-09,0.44482663,EIF4A2,5.96E-08,0.2395127,PTPN22,2.30E-13,1.3690424,ITGAE,1.72E-06,1.2258013,RAB27A,1.36E-15,1.6166569,SRSF5,1.51E-09,0.8763839,MYL12A,2.46E-07,0.82401186,RAD21,3.51E-18,2.3698127
